Date,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,ANTM,AON,AOS,APA,APD,APH,APTV,ARE,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BAX,BBY,BDX,BEN,BIIB,BIO,BK,BKNG,BKR,BLK,BLL,BMY,BR,BSX,BWA,BXP,C,CAG,CAH,CARR,CAT,CB,CBOE,CBRE,CCI,CCL,CDNS,CDW,CE,CERN,CF,CFG,CHD,CHRW,CHTR,CI,CINF,CL,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COO,COP,COST,COTY,CPB,CPRT,CRM,CSCO,CSX,CTAS,CTSH,CTVA,CTXS,CVS,CVX,D,DAL,DD,DE,DFS,DG,DGX,DHI,DHR,DIS,DISCA,DISCK,DISH,DLR,DLTR,DOV,DOW,DPZ,DRE,DRI,DTE,DUK,DVA,DVN,DXC,ALXN,BF.B,BRK.B,COG,CTL,CXO
2021-08-02,152.67855834960938,20.059999465942383,210.79331970214844,145.09056091308594,112.89561462402344,121.83262634277344,328.3599853515625,120.03153991699219,314.3294372558594,618.75,166.27789306640625,58.68347930908203,207.57493591308594,322.07000732421875,83.7412109375,86.79380798339844,23.428373336791992,54.084312438964844,46.81581497192383,6.960000038146973,155.98147583007812,138.3072967529297,118.9000015258789,206.2191925048828,700.0,56.709999084472656,128.0880126953125,135.1488494873047,141.52224731445312,11.298285484313965,108.62999725341797,137.8208770751953,235.97137451171875,256.3561096191406,280.9081115722656,3331.47998046875,94.29499816894531,369.6300048828125,388.0145263671875,259.527099609375,69.53563690185547,18.167640686035156,285.6487121582031,72.36491394042969,167.66000366210938,200.7850799560547,98.2013168334961,82.76000213623047,225.7383575439453,478.0954284667969,208.96771240234375,171.0522003173828,168.4275360107422,1634.010009765625,225.33999633789062,37.5855598449707,76.6445083618164,111.02914428710938,254.4042205810547,29.247936248779297,331.70001220703125,736.469970703125,50.986671447753906,2170.93994140625,20.53436279296875,865.4744873046875,81.04855346679688,66.88404846191406,172.12213134765625,45.880001068115234,48.412567138671875,114.35260009765625,67.24266815185547,33.06127166748047,58.4477424621582,54.32994842529297,204.03341674804688,168.90478515625,120.68000030517578,95.6500015258789,190.337890625,21.459999084472656,147.2899932861328,182.8297576904297,153.357177734375,79.63420104980469,45.463993072509766,41.44767379760742,85.10401153564453,88.18560791015625,749.8699951171875,227.1504364013672,117.82701110839844,78.63420104980469,178.7202911376953,66.48357391357422,57.925743103027344,206.72415161132812,1864.4200439453125,226.21466064453125,61.77908706665039,70.30999755859375,25.236520767211914,158.3159637451172,423.57806396484375,54.896968841552734,428.22723388671875,8.529999732971191,42.57343292236328,146.0399932861328,240.86000061035156,54.75526809692383,31.9171142578125,387.57159423828125,73.22176361083984,42.226070404052734,102.7286148071289,81.4983139038086,99.13227844238281,74.08428955078125,39.45000076293945,74.3590087890625,353.8161926269531,122.87716674804688,231.62001037597656,141.8005828857422,96.07543182373047,296.6420593261719,175.5500030517578,29.09000015258789,27.309999465942383,41.689998626708984,152.54049682617188,98.87999725341797,165.9758758544922,59.82851028442383,528.4585571289062,50.17072296142578,145.5828857421875,115.9158706665039,104.19730377197266,121.37000274658203,24.582426071166992,42.61000061035156,,,,,,
2021-08-03,153.46652221679688,19.950000762939453,213.45907592773438,146.92510986328125,113.67791748046875,122.80545806884766,326.5199890136719,121.22272491455078,316.75592041015625,621.280029296875,167.32940673828125,59.108577728271484,211.52920532226562,327.6099853515625,84.53113555908203,87.53067779541016,23.77627182006836,54.964134216308594,47.181488037109375,6.789999961853027,156.755126953125,137.68124389648438,119.81999969482422,206.29891967773438,701.3400268554688,57.189998626708984,129.02578735351562,137.07855224609375,141.67173767089844,11.445398330688477,112.55999755859375,138.3592987060547,240.1930694580078,257.79449462890625,281.6311340332031,3366.239990234375,94.7925033569336,370.82000732421875,392.9853820800781,263.64056396484375,71.32778930664062,18.664566040039062,287.5482177734375,73.50994110107422,169.13999938964844,202.66427612304688,98.33943176269531,79.83000183105469,225.8271484375,480.1767578125,212.6549072265625,174.08099365234375,168.1986541748047,1660.1099853515625,229.08999633789062,38.169742584228516,75.7213134765625,113.16109466552734,254.04664611816406,30.171451568603516,338.0,745.6900024414062,51.70255661010742,2139.2900390625,20.977336883544922,872.3626098632812,80.1025390625,68.15251159667969,173.71044921875,45.540000915527344,48.97815704345703,114.08722686767578,68.38439178466797,32.80375289916992,58.506614685058594,56.88676834106445,207.35507202148438,171.155517578125,122.43000030517578,96.20999908447266,191.97406005859375,21.43000030517578,149.85000610351562,184.4423370361328,155.5879669189453,81.42351531982422,45.94870376586914,42.51882553100586,84.64668273925781,89.91686248779297,770.02001953125,231.71621704101562,117.65885162353516,78.51557159423828,161.81484985351562,68.16384887695312,57.6879768371582,204.05581665039062,1884.489990234375,230.1551055908203,62.35093688964844,69.33000183105469,25.552597045898438,159.63111877441406,423.94805908203125,56.14597702026367,434.3673095703125,8.529999732971191,42.61275100708008,148.19000244140625,241.1300048828125,55.54524230957031,32.25528335571289,388.61676025390625,74.44428253173828,42.81254196166992,102.16324615478516,83.07071685791016,100.07844543457031,74.23176574707031,39.77000045776367,74.10001373291016,363.6667175292969,124.98992919921875,234.1603546142578,144.1005096435547,97.1308822631836,301.9249572753906,172.99000549316406,27.8700008392334,26.5,42.0,152.9446563720703,99.88999938964844,168.6901092529297,60.8155517578125,538.5322875976562,50.36875534057617,144.71554565429688,116.43827819824219,104.60941314697266,123.1500015258789,25.276790618896484,43.41999816894531,,,,,,
2021-08-04,153.87547302246094,19.450000762939453,207.78070068359375,146.51632690429688,112.53380584716797,124.63200378417969,331.20001220703125,120.67677307128906,315.015625,625.6799926757812,171.1981964111328,58.08042907714844,210.1020965576172,329.0899963378906,84.17567443847656,87.27523040771484,23.497953414916992,54.31167984008789,46.53908920288086,6.670000076293945,154.3548126220703,136.09127807617188,112.41000366210938,206.15939331054688,708.010009765625,55.2400016784668,127.26870727539062,134.75099182128906,142.26966857910156,11.376745223999023,118.7699966430664,136.3153533935547,224.6741943359375,253.5189208984375,282.1461486816406,3354.719970703125,95.52999877929688,372.57000732421875,393.2835998535156,258.9979553222656,71.20831298828125,17.640897750854492,284.60003662109375,73.23115539550781,165.72000122070312,202.22909545898438,98.05332946777344,81.5199966430664,224.8208465576172,481.17303466796875,211.4523468017578,175.24285888671875,167.2235565185547,1644.9000244140625,226.6300048828125,37.89250183105469,74.59959411621094,111.79901123046875,253.02357482910156,30.06338119506836,338.1000061035156,762.1199951171875,51.19547653198242,2085.639892578125,20.307952880859375,874.146484375,78.69844818115234,67.34619903564453,172.7673797607422,44.2599983215332,46.39826583862305,112.73079681396484,68.0269775390625,32.08072280883789,57.86885452270508,56.74748611450195,203.3969268798828,170.6300048828125,123.41000366210938,96.63999938964844,192.3387451171875,21.040000915527344,151.0800018310547,187.3788604736328,151.90318298339844,79.61431884765625,44.563812255859375,41.804725646972656,83.28462219238281,88.88401794433594,770.0,229.25999450683594,114.65159606933594,77.35889434814453,163.34364318847656,67.525146484375,57.430397033691406,203.79190063476562,1898.8299560546875,228.19969177246094,62.37065505981445,69.08999633789062,25.384681701660156,159.393798828125,414.09881591796875,54.450889587402344,434.33734130859375,8.069999694824219,41.72805404663086,148.3300018310547,244.1699981689453,54.99225616455078,31.748029708862305,386.018798828125,73.11243438720703,42.01732635498047,100.11006164550781,80.6478271484375,97.83497619628906,74.2022705078125,38.349998474121094,73.97052764892578,358.50787353515625,125.09903717041016,234.01092529296875,145.43881225585938,95.43818664550781,305.2105407714844,172.5800018310547,28.34000015258789,26.649999618530273,41.5099983215332,153.71356201171875,97.7300033569336,167.09934997558594,59.603736877441406,534.755859375,50.190528869628906,144.29173278808594,116.1031494140625,104.72716522216797,133.77999877929688,24.38954734802246,42.18000030517578,,,,,,
2021-08-05,154.64349365234375,20.90999984741211,204.480712890625,146.62600708007812,112.57292175292969,120.99876403808594,348.8599853515625,121.31206512451172,318.5360412597656,632.0800170898438,168.56939697265625,58.12986373901367,211.38055419921875,328.82000732421875,85.0445785522461,88.09070587158203,24.70068359375,54.93447494506836,48.09072494506836,6.869999885559082,157.49903869628906,137.7508087158203,113.37999725341797,217.90061950683594,699.219970703125,57.560001373291016,126.28160095214844,136.57125854492188,141.7813720703125,11.455205917358398,112.3499984741211,136.49481201171875,230.26376342773438,259.5999755859375,280.05633544921875,3375.989990234375,95.1500015258789,373.4700012207031,374.4838562011719,261.9831848144531,71.02909851074219,17.948991775512695,285.6388244628906,73.36058044433594,159.64999389648438,204.8797149658203,99.947509765625,80.31999969482422,226.11326599121094,481.0448303222656,210.59762573242188,178.4206085205078,168.78573608398438,1639.6099853515625,229.94000244140625,38.63510513305664,73.91464233398438,113.87174987792969,241.442138671875,30.495664596557617,336.5899963378906,763.6599731445312,51.503700256347656,2207.7099609375,20.53436279296875,881.3516845703125,80.44111633300781,67.2773666381836,172.65817260742188,44.650001525878906,46.160125732421875,114.8735580444336,69.18856811523438,31.961870193481445,49.61729431152344,56.03117752075195,206.05226135253906,171.05636596679688,121.0,98.12999725341797,191.6685028076172,22.549999237060547,151.75999450683594,189.74795532226562,152.42105102539062,79.42545318603516,44.702301025390625,42.77669906616211,83.26473999023438,88.27413940429688,769.9099731445312,204.23236083984375,115.13630676269531,78.0014877319336,161.32168579101562,68.88114929199219,57.79695510864258,203.54754638671875,1899.97998046875,225.43447875976562,62.752872467041016,67.2300033569336,25.918054580688477,161.37152099609375,411.66900634765625,55.46199417114258,442.47418212890625,8.5,41.51179885864258,148.2100067138672,250.55999755859375,55.06138229370117,31.976791381835938,390.189453125,72.95340728759766,41.19228744506836,100.4274673461914,79.16442108154297,98.74211883544922,74.80203247070312,39.9900016784668,73.92071533203125,362.135986328125,126.07110595703125,234.91748046875,146.02369689941406,95.92607116699219,306.7285461425781,176.7100067138672,29.200000762939453,27.489999771118164,41.84000015258789,153.7431640625,98.94000244140625,168.212890625,59.61351013183594,533.5601196289062,50.378658294677734,142.3895263671875,117.62109375,105.90464782714844,130.1300048828125,25.681835174560547,38.720001220703125,,,,,,
2021-08-06,155.30181884765625,21.020000457763672,203.86630249023438,145.92701721191406,111.91773986816406,119.75790405273438,345.8800048828125,121.27235412597656,320.0475769042969,631.3800048828125,169.75979614257812,59.602882385253906,211.09315490722656,332.7699890136719,85.76538848876953,87.77630615234375,24.452184677124023,55.59682083129883,50.35393142700195,6.880000114440918,158.7289581298828,138.18804931640625,114.56999969482422,225.96401977539062,693.6699829101562,57.869998931884766,129.13436889648438,136.80999755859375,142.16004943847656,11.504242897033691,110.11000061035156,136.41506958007812,226.48489379882812,264.6114196777344,279.4224548339844,3344.93994140625,94.4000015258789,374.739990234375,377.23773193359375,261.1045837402344,71.35765838623047,18.21733283996582,287.7164001464844,73.31079864501953,163.14999389648438,205.7797393798828,99.53315734863281,82.43000030517578,225.8468780517578,478.8352355957031,211.90953063964844,176.21604919433594,170.5071258544922,1629.8499755859375,231.3300018310547,39.753963470458984,74.28193664550781,113.34862518310547,239.41587829589844,31.104793548583984,340.0,753.6300048828125,52.855918884277344,2182.97998046875,20.859210968017578,888.1009521484375,84.88240051269531,66.98238372802734,172.10227966308594,44.70000076293945,45.18770980834961,115.8859634399414,70.55863189697266,32.44718933105469,50.02938461303711,56.09086990356445,207.20590209960938,173.48558044433594,122.83000183105469,97.75,192.00363159179688,23.079999923706055,151.07000732421875,189.18057250976562,154.82113647460938,79.52484893798828,45.69150924682617,43.60981750488281,83.02613067626953,89.51355743408203,770.0900268554688,207.29270935058594,118.00507354736328,77.73456573486328,160.3551025390625,70.99376678466797,58.14369201660156,205.10165405273438,1887.1500244140625,226.2344207763672,62.81243896484375,66.80000305175781,26.15511131286621,165.31639099121094,412.9688720703125,56.007198333740234,438.919921875,8.600000381469727,41.580604553222656,145.99000549316406,250.58999633789062,54.89351272583008,32.125980377197266,389.49267578125,72.55583953857422,44.49243927001953,100.56632232666016,80.35114288330078,99.44441986083984,74.7233657836914,40.31999969482422,75.77346801757812,364.6806335449219,129.00714111328125,235.25619506835938,145.3297576904297,94.29312133789062,306.86834716796875,177.1300048828125,29.040000915527344,27.280000686645508,41.970001220703125,154.84722900390625,98.7699966430664,168.51113891601562,60.590782165527344,531.5275268554688,50.626190185546875,142.61622619628906,117.86751556396484,104.95285034179688,133.1699981689453,26.04830551147461,41.09000015258789,,,,,,
2021-08-09,156.13966369628906,20.559999465942383,202.6771240234375,145.87709045410156,111.53636169433594,119.35089874267578,346.6499938964844,122.25508880615234,317.7503967285156,629.219970703125,169.9383544921875,59.86980438232422,211.78688049316406,332.7699890136719,86.60467529296875,87.93482208251953,24.024768829345703,55.46830368041992,51.24340057373047,6.739999771118164,158.3917236328125,139.43020629882812,115.08999633789062,230.61863708496094,686.5599975585938,56.86000061035156,130.9703826904297,135.63626098632812,141.5122833251953,11.592511177062988,107.58000183105469,135.6473388671875,224.26087951660156,264.63134765625,277.38214111328125,3341.8701171875,93.875,371.6300048828125,374.1259460449219,263.4208984375,71.09880065917969,17.79991340637207,272.8072204589844,73.1116714477539,165.30999755859375,206.7786865234375,99.76007080078125,81.41000366210938,224.48541259765625,478.0954284667969,213.33071899414062,176.48806762695312,169.93002319335938,1616.739990234375,232.27000427246094,40.268829345703125,73.45801544189453,111.07849884033203,236.93272399902344,31.821990966796875,340.20001220703125,756.6099853515625,53.07466506958008,2157.780029296875,20.938636779785156,893.9285278320312,86.98355102539062,66.2547378540039,171.6654815673828,43.810001373291016,45.22739791870117,115.21757507324219,71.0053939819336,32.83346939086914,49.74484634399414,55.95158767700195,207.74293518066406,174.27880859375,121.04000091552734,96.30000305175781,191.43194580078125,22.709999084472656,150.2899932861328,188.7624969482422,155.8568572998047,79.52484893798828,46.56201171875,43.52055358886719,83.64253234863281,88.1462631225586,765.5,209.12496948242188,118.3414077758789,77.44786834716797,162.5940399169922,70.73828125,57.73750686645508,204.3881378173828,1875.0699462890625,227.78489685058594,62.80250930786133,66.19000244140625,26.21437644958496,165.57540893554688,407.24932861328125,54.96635818481445,439.7585754394531,8.460000038146973,41.86567687988281,146.02999877929688,249.32000732421875,54.77501678466797,32.21549606323242,390.63739013671875,72.08869934082031,44.90993118286133,100.65559387207031,80.74671936035156,97.78620147705078,74.7233657836914,39.290000915527344,75.24553680419922,367.10601806640625,128.3921661376953,235.48532104492188,146.61846923828125,94.0037612915039,307.5574035644531,176.72000122070312,29.229999542236328,27.540000915527344,42.25,155.42884826660156,98.33999633789062,168.0836181640625,60.41487121582031,527.5717163085938,50.388553619384766,136.2393798828125,118.18292999267578,104.15805053710938,132.55999755859375,25.69148063659668,40.40999984741211,,,,,,
2021-08-10,156.11972045898438,20.940000534057617,206.85910034179688,145.3878173828125,112.27955627441406,118.1001205444336,332.70001220703125,121.7984619140625,318.40673828125,621.739990234375,169.63084411621094,60.710113525390625,214.77984619140625,331.2799987792969,86.5750503540039,87.92491149902344,24.19374656677246,56.05155563354492,52.518310546875,6.610000133514404,160.96066284179688,139.99664306640625,115.5999984741211,238.24346923828125,687.3800048828125,58.470001220703125,132.59913635253906,135.755615234375,137.5858154296875,11.720008850097656,106.4800033569336,136.39512634277344,224.3297882080078,267.4409484863281,272.66766357421875,3320.679931640625,92.92500305175781,361.67999267578125,375.16986083984375,266.935302734375,71.57670593261719,18.94284439086914,274.90460205078125,73.31079864501953,169.75999450683594,202.26866149902344,99.53315734863281,82.98999786376953,219.789306640625,475.70831298828125,215.6960906982422,175.38201904296875,168.6464385986328,1632.8199462890625,235.77999877929688,41.021331787109375,73.30911254882812,113.52628326416016,237.02212524414062,32.244449615478516,337.2200012207031,763.7999877929688,53.522090911865234,2200.469970703125,21.20669937133789,904.4241333007812,88.45735168457031,66.2547378540039,170.27574157714844,42.650001525878906,45.50523376464844,114.28379821777344,72.45489501953125,33.08108139038086,50.049007415771484,56.3196907043457,212.89450073242188,176.5890350341797,122.27999877929688,96.30999755859375,188.2285919189453,23.649999618530273,149.0500030517578,190.64385986328125,159.6810760498047,78.63019561767578,47.303916931152344,44.175148010253906,83.64253234863281,87.939697265625,766.5,208.9268798828125,119.10311889648438,77.83343505859375,162.58416748046875,72.10411071777344,57.90592575073242,204.21218872070312,1866.7900390625,230.86614990234375,62.484825134277344,64.98999786376953,26.293394088745117,170.01837158203125,406.51934814453125,55.98737335205078,442.3144226074219,8.569999694824219,41.78703308105469,143.3300018310547,243.38999938964844,54.91326141357422,32.77248001098633,389.02484130859375,72.62541198730469,45.357242584228516,100.05055236816406,82.31912994384766,99.57122802734375,75.15597534179688,40.459999084472656,76.92894744873047,374.3622131347656,130.97109985351562,237.318359375,147.28268432617188,95.50047302246094,308.4661865234375,177.07000732421875,29.440000534057617,27.850000381469727,43.150001525878906,152.17575073242188,101.41999816894531,170.75808715820312,61.68532180786133,517.0695190429688,49.77466583251953,138.2007293701172,118.281494140625,104.89397430419922,132.75,26.665517807006836,40.470001220703125,,,,,,
2021-08-11,156.11972045898438,21.229999542236328,209.3068389892578,145.64743041992188,111.20389556884766,118.36813354492188,319.8800048828125,120.56757354736328,318.0189208984375,626.030029296875,169.0951690673828,60.79909133911133,214.31405639648438,328.6400146484375,87.04900360107422,88.34100341796875,24.740442276000977,56.29869842529297,53.44731521606445,6.690000057220459,162.67660522460938,141.3878631591797,116.36000061035156,235.21348571777344,687.780029296875,59.45000076293945,133.86264038085938,136.44195556640625,134.35696411132812,11.94558334350586,107.68000030517578,137.04318237304688,224.4970703125,270.3203125,274.56927490234375,3292.110107421875,92.2750015258789,363.0799865722656,365.49658203125,272.7361145019531,71.93513488769531,19.111799240112305,275.75543212890625,73.4004135131836,168.13999938964844,202.30821228027344,99.77979278564453,85.0,219.2170867919922,476.9807434082031,216.1632080078125,174.9336395263672,169.820556640625,1637.18994140625,239.49000549316406,41.53620147705078,73.43817138671875,116.52680206298828,239.03843688964844,32.833927154541016,339.04998779296875,752.6900024414062,54.45671081542969,2200.219970703125,21.355621337890625,908.913818359375,89.16436767578125,65.75325775146484,170.8614044189453,43.630001068115234,46.437957763671875,116.0825424194336,73.76539611816406,33.48716735839844,50.71619415283203,56.59825134277344,220.44281005859375,179.5437469482422,124.95999908447266,96.0999984741211,189.19451904296875,23.989999771118164,150.52999877929688,195.0635528564453,162.49945068359375,79.00794982910156,47.788631439208984,44.96859359741211,83.7618408203125,89.33649444580078,776.6500244140625,209.27354431152344,119.953857421875,78.19921875,164.24119567871094,73.58786010742188,58.53997039794922,204.3490447998047,1856.4599609375,238.79640197753906,62.73301696777344,64.44999694824219,26.481061935424805,173.88356018066406,408.16925048828125,56.69117736816406,443.5823669433594,8.489999771118164,42.10159683227539,143.38999938964844,242.27999877929688,55.16012954711914,33.79692840576172,388.328125,74.59336853027344,45.466583251953125,101.42926025390625,84.01020812988281,100.32229614257812,75.63774871826172,41.29999923706055,77.99478149414062,383.7655334472656,132.53831481933594,237.0991973876953,147.2628631591797,98.2344741821289,310.1539306640625,178.08999633789062,29.450000762939453,27.889999389648438,43.58000183105469,154.23605346679688,102.31999969482422,171.4938201904297,62.77986526489258,513.4824829101562,49.89348220825195,139.05819702148438,118.45892333984375,105.12947082519531,132.75,27.0030574798584,41.2400016784668,,,,,,
2021-08-12,157.74554443359375,20.43000030517578,207.41404724121094,148.6730194091797,113.08140563964844,119.16228485107422,322.1700134277344,121.90765380859375,319.9779968261719,634.3499755859375,167.230224609375,61.115440368652344,212.97613525390625,332.04998779296875,86.81202697753906,88.123046875,24.959121704101562,56.704010009765625,53.249656677246094,6.690000057220459,164.59092712402344,140.63262939453125,117.27999877929688,235.76165771484375,704.27001953125,58.56999969482422,133.5072784423828,136.37232971191406,128.77618408203125,11.818084716796875,106.5,136.84378051757812,224.51673889160156,271.79486083984375,277.3722229003906,3303.5,91.74749755859375,363.45001220703125,365.48663330078125,274.5632019042969,71.10874938964844,18.8037052154541,274.6473693847656,73.58959197998047,166.52000427246094,202.357666015625,99.21746063232422,85.16999816894531,219.31576538085938,477.68115234375,214.69232177734375,176.81689453125,167.68125915527344,1630.5,238.17999267578125,41.734230041503906,73.31903839111328,116.59590148925781,244.44180297851562,32.59813690185547,340.67999267578125,766.5499877929688,54.57602310180664,2193.169921875,21.19676971435547,910.3507690429688,89.07473754882812,65.83191680908203,171.6356964111328,44.06999969482422,45.91205978393555,115.63040161132812,73.59661102294922,33.25936508178711,51.09885025024414,55.69292068481445,219.03060913085938,180.13864135742188,126.87999725341797,95.5999984741211,190.53500366210938,23.360000610351562,152.25999450683594,197.00462341308594,162.15089416503906,79.06758880615234,48.500858306884766,44.92892074584961,83.83143615722656,89.73979949951172,774.5700073242188,207.6690673828125,120.52760314941406,77.89274597167969,164.4779052734375,74.187255859375,58.480525970458984,203.67462158203125,1877.3499755859375,236.15957641601562,62.54439163208008,63.11000061035156,26.421798706054688,176.2544708251953,440.0868225097656,56.5424919128418,444.6406555175781,8.350000381469727,41.86567687988281,141.36000061035156,248.38999938964844,55.68348693847656,33.94612503051758,387.79925537109375,76.0544204711914,45.92523956298828,101.26063537597656,84.19810485839844,100.11746215820312,76.0605239868164,40.529998779296875,77.6959457397461,383.30828857421875,133.17312622070312,235.3856964111328,146.78701782226562,97.16681671142578,313.3496398925781,179.2899932861328,28.899999618530273,27.350000381469727,43.11000061035156,155.28097534179688,101.44000244140625,171.0662841796875,62.55509567260742,514.6282958984375,50.269737243652344,139.91567993164062,118.23220825195312,104.6689682006836,131.27000427246094,27.456321716308594,41.58000183105469,,,,,,
2021-08-13,158.82278442382812,19.84000015258789,204.5699005126953,148.88272094726562,113.90283203125,119.13240051269531,321.6499938964844,122.15581512451172,321.6586608886719,637.3099975585938,168.7182159423828,61.68883514404297,213.24371337890625,332.7799987792969,87.72042846679688,88.8561782836914,24.64104461669922,56.60514831542969,53.97111511230469,6.809999942779541,163.6585693359375,139.42027282714844,116.29000091552734,234.44601440429688,691.1900024414062,57.619998931884766,133.31971740722656,137.27749633789062,129.45384216308594,11.916160583496094,110.55000305175781,136.8338165283203,226.02236938476562,271.1672058105469,280.2148132324219,3293.969970703125,91.01750183105469,362.5899963378906,365.3474426269531,276.79962158203125,71.64640045166016,17.770095825195312,276.754638671875,73.66924285888672,164.92999267578125,203.247802734375,100.10536193847656,83.8499984741211,221.53555297851562,479.5553283691406,214.205322265625,178.28164672851562,165.25340270996094,1612.6099853515625,234.4600067138672,41.2193603515625,74.01390838623047,112.3023910522461,245.12713623046875,32.19532775878906,342.25,778.2999877929688,53.561859130859375,2203.419921875,21.504545211791992,908.685791015625,88.30797576904297,66.382568359375,173.0850372314453,44.33000183105469,45.257164001464844,115.89579772949219,72.58395385742188,33.72487258911133,50.726009368896484,55.8620491027832,217.36978149414062,181.17974853515625,127.0,95.37999725341797,191.98390197753906,22.860000610351562,152.6699981689453,197.41275024414062,161.71270751953125,79.15705108642578,48.15250778198242,44.403263092041016,84.86154174804688,90.39884948730469,771.7100219726562,208.5901641845703,120.08245849609375,78.53534698486328,166.144775390625,73.64681243896484,58.76782989501953,202.3551025390625,1887.81005859375,234.76708984375,63.00106430053711,63.06999969482422,26.569957733154297,177.05142211914062,436.9570617675781,55.4818229675293,447.0967102050781,8.25,42.445640563964844,141.5,251.55999755859375,55.762489318847656,33.687522888183594,388.5575866699219,77.15766906738281,45.85544204711914,101.28047943115234,83.42674255371094,99.45417022705078,76.4046401977539,39.900001525878906,76.77953338623047,381.697998046875,134.28408813476562,235.86387634277344,146.93572998046875,97.5659408569336,314.837646484375,181.0800018310547,28.420000076293945,26.989999771118164,42.7400016784668,156.83853149414062,101.7699966430664,170.6487274169922,62.242366790771484,515.1663818359375,50.742435455322266,139.94525146484375,118.57720184326172,104.97596740722656,130.27999877929688,27.0127010345459,41.22999954223633,,,,,,
